# index, logLikelihood, tieBreaker, ID.
0 -659.0420631 0.3952971698 3
0 -4402.358314 0.08415121915 0
1 -803.9408216 0.674543442 2
1 -891.487624 0.4434432408 2
1 -853.0317251 0.06968803344 3
1 -823.0638027 0.937032659 2
2 -653.1493432 0.7760462468 3
1 -668.7577467 0.8562622406 0
1 -969.860851 0.7462085582 0
0 -6015.808718 0.0827806303 1
2 -674.1063889 0.08071629264 1
0 -1342.631935 0.2413673436 2
0 -2597.127325 0.001381220187 1
4 -583.8016427 0.774978742 0
3 -558.978208 0.7321869257 3
1 -665.0479391 0.7177630581 3
4 -570.187124 0.7456632923 1
1 -622.4534411 0.5219276366 3
3 -597.9593034 0.6324576003 2
3 -605.0967646 0.3026519876 0
2 -664.0884674 0.2972991598 1
2 -634.9184552 0.173125719 3
2 -660.7912396 0.1557477594 3
0 -3884.299387 0.3044794551 0
1 -625.3521725 0.2227912885 2
2 -654.2230458 0.05953507714 2
5 -566.4003445 0.9850385985 1
2 -587.5469642 0.4997507801 1
6 -556.1621736 0.5432958525 2
6 -558.7277261 0.7545901425 3
7 -554.8822143 0.9519269591 0
3 -600.4187479 0.07903470322 2
5 -566.5909617 0.3715251716 1
7 -553.4223302 0.4221569234 2
1 -849.5624999 0.3253653522 3
0 -823.0872894 0.5654519729 3
1 -907.5731217 0.6338217426 0
8 -550.1248412 0.4777291897 3
3 -577.1761806 0.1885658983 2
7 -555.3048902 0.8030521784 3
0 -1239.346633 0.8190836358 3
1 -798.1762945 0.274741508 3
8 -546.7450818 0.4118611868 1
8 -550.5372589 0.6276757164 2
6 -558.2497973 0.9158519148 2
4 -574.2697268 0.01709890051 2
4 -556.1759772 0.4841271597 3
1 -880.5224791 0.9465377062 0
3 -598.0972834 0.3739785813 1
9 -547.8637191 0.9058562136 3
5 -564.9014704 0.8522741956 3
5 -555.5070994 0.3864507997 0
7 -554.4440965 0.3838552337 0
1 -685.1979282 0.3230736643 0
3 -591.4316406 0.5039553251 3
10 -546.011797 0.3831718981 1
6 -559.4611331 0.2918758891 0
5 -545.8385091 0.8429856364 1
9 -547.3535313 0.001203143339 2
9 -548.0743989 0.4415051028 0
10 -544.9962795 0.4305523033 3
10 -545.6640664 0.09266763865 2
2 -629.8518373 0.6492230585 0
5 -569.5061787 0.1006054245 2
10 -540.4373478 0.6337245993 0
2 -590.9633473 0.7168527783 0
9 -548.3199219 0.6423178217 1
0 -568.8696672 0.9218238486 3
8 -548.4474553 0.8083062062 0
11 -543.0855237 0.8030542029 3
7 -553.469816 0.8326065104 2
1 -579.0620314 0.2350116369 1
8 -544.4392002 0.07394573715 3
10 -545.0716438 0.8387910333 1
4 -582.8350109 0.5246410037 2
6 -557.0058418 0.1970902402 1
12 -543.597656 0.8875580613 0
12 -544.2774981 0.5404189719 2
2 -651.2357491 0.4180483506 2
8 -551.2087435 0.1090300634 3
11 -544.2993081 0.2779124658 3
13 -542.8357313 0.9858436907 3
9 -543.0177599 0.4080046036 2
12 -544.2555654 0.9352971945 0
9 -546.6372294 0.8445688368 0
9 -547.2167148 0.1674555734 3
9 -548.2177697 0.4572230448 2
4 -554.1803791 0.636258056 3
8 -550.1242632 0.8158014284 1
5 -567.3584003 0.1356243541 0
4 -577.4171413 0.5710570167 3
11 -545.0677239 0.2793253951 3
3 -598.499749 0.1879440867 0
12 -543.9501067 0.3698617991 3
3 -593.092069 0.9396356433 0
1 -752.0690603 0.9034198373 3
13 -543.1287525 0.686264961 0
11 -545.1086664 0.8699443332 0
0 -24165.67199 0.1066653937 0
4 -575.7824735 0.577249648 1
6 -555.9140756 0.2263518401 3
6 -556.6766148 0.3315067585 1
10 -544.706898 0.5971989194 1
8 -544.9157329 0.8813835776 2
7 -549.6022636 0.8951050955 1
9 -544.9064808 0.6047393328 2
5 -551.7195671 0.8592367795 1
2 -599.7560555 0.08405578964 2
10 -545.518492 0.9443925281 3
8 -549.506886 0.8107819838 1
4 -573.5190137 0.9152593848 3
16 -538.2432491 0.8684071365 1
8 -548.0615495 0.1486048573 2
15 -539.7751643 0.1584323186 0
12 -543.1900417 0.8337935243 3
10 -545.9842568 0.9964491642 2
12 -543.3798603 0.6370491843 3
9 -548.1437316 0.8675890076 2
14 -541.722819 0.6242054497 0
11 -544.9727034 0.06588923195 1
15 -539.4399985 0.03877472234 0
10 -544.8760429 0.4260689882 3
15 -539.1488985 0.3057487831 3
11 -545.2038281 0.05753748027 0
5 -563.2165585 0.6864929229 3
4 -576.4893393 0.04362014439 2
8 -545.4799134 0.1699109706 2
4 -561.7969576 0.7847551125 3
13 -542.1127457 0.2575764256 2
18 -538.3482035 0.4124575558 2
11 -543.7222258 0.3800129739 2
15 -538.7179961 0.7598267284 3
0 -3033.47448 0.4448943368 1
6 -559.3311012 0.7134392982 3
8 -550.4436491 0.07089036596 1
0 -731.936626 0.8498431973 1
5 -555.5847402 0.257721401 1
15 -540.9284963 0.2040189762 1
17 -538.1734215 0.7173727781 0
14 -542.010746 0.8884758375 1
8 -547.1786047 0.3389730365 1
19 -536.8446432 0.8294580905 3
1 -658.0926851 0.4016400433 3
16 -539.6407916 0.2550871952 2
18 -538.3021808 0.453865238 2
15 -538.5180955 0.2334071592 1
12 -543.6978371 0.1092905287 1
19 -537.054457 0.8227680553 0
16 -535.2346254 0.7309681486 1
17 -538.691627 0.9103971815 0
7 -546.7675811 0.4069290594 2
0 -828.1205421 0.5517138391 1
15 -540.8927475 0.05126107345 3
3 -602.2309524 0.4811603796 0
16 -540.0076296 0.03846675477 0
12 -542.8042263 0.4718788874 0
17 -538.525331 0.007596892085 1
12 -544.1399834 0.6256935511 0
20 -534.3670488 0.9483305789 1
